Date,Product_Family,SKU,Demand
2011-01-01,FOODS_1,FOODS_1_124,0
2011-02-01,FOODS_1,FOODS_1_124,0
2011-03-01,FOODS_1,FOODS_1_124,43
2011-04-01,FOODS_1,FOODS_1_124,16
2011-05-01,FOODS_1,FOODS_1_124,61
2011-06-01,FOODS_1,FOODS_1_124,47
2011-07-01,FOODS_1,FOODS_1_124,62
2011-08-01,FOODS_1,FOODS_1_124,5
2011-09-01,FOODS_1,FOODS_1_124,0
2011-10-01,FOODS_1,FOODS_1_124,0
2011-11-01,FOODS_1,FOODS_1_124,40
2011-12-01,FOODS_1,FOODS_1_124,65
2012-01-01,FOODS_1,FOODS_1_124,46
2012-02-01,FOODS_1,FOODS_1_124,57
2012-03-01,FOODS_1,FOODS_1_124,53
2012-04-01,FOODS_1,FOODS_1_124,64
2012-05-01,FOODS_1,FOODS_1_124,45
2012-06-01,FOODS_1,FOODS_1_124,54
2012-07-01,FOODS_1,FOODS_1_124,54
2012-08-01,FOODS_1,FOODS_1_124,64
2012-09-01,FOODS_1,FOODS_1_124,57
2012-10-01,FOODS_1,FOODS_1_124,43
2012-11-01,FOODS_1,FOODS_1_124,42
2012-12-01,FOODS_1,FOODS_1_124,65
2013-01-01,FOODS_1,FOODS_1_124,34
2013-02-01,FOODS_1,FOODS_1_124,3
2013-03-01,FOODS_1,FOODS_1_124,0
2013-04-01,FOODS_1,FOODS_1_124,0
2013-05-01,FOODS_1,FOODS_1_124,22
2013-06-01,FOODS_1,FOODS_1_124,35
2013-07-01,FOODS_1,FOODS_1_124,37
2013-08-01,FOODS_1,FOODS_1_124,30
2013-09-01,FOODS_1,FOODS_1_124,28
2013-10-01,FOODS_1,FOODS_1_124,39
2013-11-01,FOODS_1,FOODS_1_124,4
2013-12-01,FOODS_1,FOODS_1_124,0
2014-01-01,FOODS_1,FOODS_1_124,0
2014-02-01,FOODS_1,FOODS_1_124,0
2014-03-01,FOODS_1,FOODS_1_124,0
2014-04-01,FOODS_1,FOODS_1_124,18
2014-05-01,FOODS_1,FOODS_1_124,37
2014-06-01,FOODS_1,FOODS_1_124,34
2014-07-01,FOODS_1,FOODS_1_124,30
2014-08-01,FOODS_1,FOODS_1_124,26
2014-09-01,FOODS_1,FOODS_1_124,36
2014-10-01,FOODS_1,FOODS_1_124,15
2014-11-01,FOODS_1,FOODS_1_124,0
2014-12-01,FOODS_1,FOODS_1_124,0
2015-01-01,FOODS_1,FOODS_1_124,17
2015-02-01,FOODS_1,FOODS_1_124,4
2015-03-01,FOODS_1,FOODS_1_124,0
2015-04-01,FOODS_1,FOODS_1_124,6
2015-05-01,FOODS_1,FOODS_1_124,59
2015-06-01,FOODS_1,FOODS_1_124,37
2015-07-01,FOODS_1,FOODS_1_124,42
2015-08-01,FOODS_1,FOODS_1_124,29
2015-09-01,FOODS_1,FOODS_1_124,22
2015-10-01,FOODS_1,FOODS_1_124,13
2015-11-01,FOODS_1,FOODS_1_124,0
2015-12-01,FOODS_1,FOODS_1_124,0
2016-01-01,FOODS_1,FOODS_1_124,30
2016-02-01,FOODS_1,FOODS_1_124,49
2016-03-01,FOODS_1,FOODS_1_124,33
2016-04-01,FOODS_1,FOODS_1_124,41
